ID de respuesta;Fecha;Hora;A1. Edad ;A2. Identidad de género;A2. Identidad de género  [Otro];A3. Nivel Estudio;A4. Nacionalidad y residencia;A4o. Nacionalidad y residencia [Otro];A5. Provincia de residencia ;A5a. País Extranjero;A5b. Provincia/estado Extranjero;A6. Ámbito Actividad;A6o. Ámbito Actividad [Otro];A7. Rol Principal;A7o. Rol Principal [Otro];A8. Rol Secundario;A8o. Rol Secundario [Otro];A9. Situación Laboral;A10. Años Experiencia
61;13-02-2026;20:56:15;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Ninguno;;Freelance / Por proyectos puntuales;2-5 años
63;13-02-2026;21:27:09;de 45 a 54;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Otro;Prensa y comunicación editorial ;Divulgadora / Crítica;;Autónoma con clientes habituales;2-5 años
64;13-02-2026;21:34:23;de 45 a 54;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Ninguno;;Freelance / Por proyectos puntuales;6-10 años
65;13-02-2026;21:39:19;de 25 a 34;Otro;Mujer trans;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Murcia;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Guionista;;Autora integral;;Sin actividad remunerada en el sector;6-10 años
70;14-02-2026;0:53:23;de 18 a 24;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Pontevedra;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Autora integral;;Freelance / Por proyectos puntuales;Menos de 2 años
74;14-02-2026;8:52:53;de 35 a 44;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Dibujante / Ilustradora;;Autónoma con clientes habituales;6-10 años
75;14-02-2026;9:01:06;de 35 a 44;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Pontevedra;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Guionista;;Promotora / Comisaria o gestora cultural;;Freelance / Por proyectos puntuales;11-15 años
78;14-02-2026;9:26:07;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Sevilla;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Colorista;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;11-15 años
80;14-02-2026;10:46:10;de 45 a 54;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Ninguno;;Sin actividad remunerada en el sector;2-5 años
81;14-02-2026;10:03:20;de 55 a 64;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Barcelona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;6-10 años
82;14-02-2026;10:09:50;de 25 a 34;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Asturias;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Autora integral;;Sin actividad remunerada en el sector;2-5 años
85;14-02-2026;10:29:01;de 35 a 44;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Colorista;;Autónoma con clientes habituales;2-5 años
